TITLE,Year,Value,County
Civilian Unemployment per mil,2014,113831.92313208088,Yuba_County_per_mil
"Total, All Industries per mil",2014,574537.5017926288,Yuba_County_per_mil
Total Farm per mil,2014,27498.92442277356,Yuba_County_per_mil
Total Nonfarm per mil,2014,547038.5773698551,Yuba_County_per_mil
Goods Producing per mil,2014,48114.15459630002,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2014,25383.622544098667,Yuba_County_per_mil
Manufacturing per mil,2014,22694.67947798652,Yuba_County_per_mil
Service Providing per mil,2014,498960.27534777,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2014,80381.47138964577,Yuba_County_per_mil
Wholesale Trade per mil,2014,8353.64979205507,Yuba_County_per_mil
Retail Trade per mil,2014,47791.48142836656,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2014,24200.487595009323,Yuba_County_per_mil
Information per mil,2014,7170.514842965726,Yuba_County_per_mil
Financial Activities per mil,2014,10146.2785027965,Yuba_County_per_mil
Professional and Business Services per mil,2014,31980.49619962713,Yuba_County_per_mil
Private Education and Health Services per mil,2014,100674.02839523878,Yuba_County_per_mil
Leisure and Hospitality per mil,2014,49010.46895167073,Yuba_County_per_mil
Other Services per mil,2014,12548.40097519002,Yuba_County_per_mil
Government per mil,2014,207048.6160906353,Yuba_County_per_mil
Federal Government per mil,2014,50193.60390076008,Yuba_County_per_mil
State Government per mil,2014,28682.059371862902,Yuba_County_per_mil
Local Government per mil,2014,128172.95281801232,Yuba_County_per_mil
Civilian Employment per mil,2015,906594.5945945946,Yuba_County_per_mil
Civilian Unemployment per mil,2015,93081.08108108108,Yuba_County_per_mil
"Total, All Industries per mil",2015,590090.0900900901,Yuba_County_per_mil
Total Farm per mil,2015,27927.92792792793,Yuba_County_per_mil
Total Nonfarm per mil,2015,562162.1621621622,Yuba_County_per_mil
Goods Producing per mil,2015,52540.54054054054,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2015,27027.02702702703,Yuba_County_per_mil
Manufacturing per mil,2015,25513.513513513517,Yuba_County_per_mil
Service Providing per mil,2015,509621.6216216216,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2015,81081.08108108108,Yuba_County_per_mil
Wholesale Trade per mil,2015,7207.207207207207,Yuba_County_per_mil
Retail Trade per mil,2015,51963.963963963964,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2015,21909.90990990991,Yuba_County_per_mil
Information per mil,2015,3603.603603603604,Yuba_County_per_mil
Financial Activities per mil,2015,8396.396396396398,Yuba_County_per_mil
Professional and Business Services per mil,2015,33333.333333333336,Yuba_County_per_mil
Private Education and Health Services per mil,2015,108720.72072072072,Yuba_County_per_mil
Leisure and Hospitality per mil,2015,49261.26126126127,Yuba_County_per_mil
Other Services per mil,2015,13801.8018018018,Yuba_County_per_mil
Government per mil,2015,211423.42342342343,Yuba_County_per_mil
Federal Government per mil,2015,52540.54054054054,Yuba_County_per_mil
State Government per mil,2015,28216.216216216217,Yuba_County_per_mil
Local Government per mil,2015,130630.63063063062,Yuba_County_per_mil
Civilian Employment per mil,2016,917043.3843870184,Yuba_County_per_mil
Civilian Unemployment per mil,2016,82383.1050536401,Yuba_County_per_mil
"Total, All Industries per mil",2016,560859.5911207071,Yuba_County_per_mil
Total Farm per mil,2016,17137.844949733484,Yuba_County_per_mil
Total Nonfarm per mil,2016,543721.7461709735,Yuba_County_per_mil
Goods Producing per mil,2016,49490.587679643744,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2016,25875.44700087713,Yuba_County_per_mil
Manufacturing per mil,2016,23615.140678766616,Yuba_County_per_mil
Service Providing per mil,2016,494231.1584913299,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2016,75635.92200256392,Yuba_County_per_mil
Wholesale Trade per mil,2016,6747.183051076176,Yuba_County_per_mil
Retail Trade per mil,2016,48917.077120302274,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2016,19971.66183118548,Yuba_County_per_mil
Information per mil,2016,3373.591525538088,Yuba_County_per_mil
Financial Activities per mil,2016,7860.468254503745,Yuba_County_per_mil
Professional and Business Services per mil,2016,34579.3131367654,Yuba_County_per_mil
Private Education and Health Services per mil,2016,105694.62249510828,Yuba_County_per_mil
Leisure and Hospitality per mil,2016,52020.78132379732,Yuba_County_per_mil
Other Services per mil,2016,13494.366102152351,Yuba_County_per_mil
Government per mil,2016,201572.0936509008,Yuba_County_per_mil
Federal Government per mil,2016,51177.38344241279,Yuba_County_per_mil
State Government per mil,2016,25571.823763578705,Yuba_County_per_mil
Local Government per mil,2016,124822.88644490924,Yuba_County_per_mil
Civilian Employment per mil,2017,928955.223880597,Yuba_County_per_mil
Civilian Unemployment per mil,2017,71310.11608623549,Yuba_County_per_mil
"Total, All Industries per mil",2017,588457.711442786,Yuba_County_per_mil
Total Farm per mil,2017,25704.80928689884,Yuba_County_per_mil
Total Nonfarm per mil,2017,562752.9021558872,Yuba_County_per_mil
Goods Producing per mil,2017,55820.89552238806,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2017,32338.30845771144,Yuba_County_per_mil
Manufacturing per mil,2017,23482.587064676616,Yuba_County_per_mil
Service Providing per mil,2017,506898.8391376451,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2017,80696.51741293533,Yuba_County_per_mil
Wholesale Trade per mil,2017,9386.401326699835,Yuba_County_per_mil
Retail Trade per mil,2017,51144.27860696518,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2017,20165.837479270314,Yuba_County_per_mil
Information per mil,2017,3316.749585406302,Yuba_County_per_mil
Financial Activities per mil,2017,9121.06135986733,Yuba_County_per_mil
Professional and Business Services per mil,2017,30945.2736318408,Yuba_County_per_mil
Private Education and Health Services per mil,2017,116086.23548922056,Yuba_County_per_mil
Leisure and Hospitality per mil,2017,50315.0912106136,Yuba_County_per_mil
Other Services per mil,2017,14096.185737976784,Yuba_County_per_mil
Government per mil,2017,202321.7247097844,Yuba_County_per_mil
Federal Government per mil,2017,50580.4311774461,Yuba_County_per_mil
State Government per mil,2017,25970.149253731342,Yuba_County_per_mil
